Author_ID,Name
37270681400,Bill Hibbard
37378731100,David Santek
38158227200,James Lowell Helman
37274095200,Lambertus Hesselink
37671091700,Gordon Bancroft
37667865200,Fergus Merritt
37671091300,Todd Plessel
38222555400,Paul Kelaita
38223652700,R.Kevin McCabe
38220532900,Al Globus
38222638800,J.L. Montine
37332039100,Yaseen Yacoob
37283754100,Gregory M. Nielson
37282068700,Bernd Hamann
38224081700,A.J. Maeder
38226960900,David Lamb
38222557000,Sivaji Bandyopadhyay
38183096100,James V. Miller
37349884100,David E. Breen
37349871000,Michael J. Wozny
38156954600,Richard A. Becker
37282570100,Stephen G. Eick
38225586000,Eileen O. Miller
38140574900,Allan R. Wilks
37673708000,Ping-Kang Hsiung
37355901300,Robert H. Thibadeau
38224229700,Christopher B. Cox
37684312600,Robert H. P. Dunn
38225786100,Michael Wu
38224474700,Paul Andrew Olbrich
37347480400,Bowen Alpern
37281754200,Larry Carter
37424740200,Ted Selker
37333439100,Andrew J. Hanson
37283077400,P.A. Heng
38226976000,B. C. Kaplan
37388066800,Philip K. Robertson
38222544200,George David kerlick
37352200300,Nahum Gershon
38222492800,Stephen Wehrend
37380191400,Clayton Lewis
38221269900,Jerry Lohse
38222535800,Henry Rueter
37377633100,Kevin Biolsi
38224131700,Neff Walker
37070774300,Kalpathi Subramanian
37300594200,Donald S. Fussell
37378511100,Lori Scarlatos
37357427000,The Pavlidis
37268052800,Arie E Kaufman
37342422500,Roni Yagel
38158765400,Reuven Bakalash
38222533200,Ilan Spector
37282578800,Hans Hagen
38181577200,Thomas S Schreiber
38222534800,Ernst Gschwind
37271525400,Binh Pham
38225435000,Chieh-Cheng J. Yen
38222589100,Keith W. Bedford
38223917500,Keith W. Bedford
38225773100,Robert E. Marshall
37301161800,John C. Hart
37621252300,Louis H. Kauffman
37086974762,Daniel J. Sandin
38225470800,Yonggang Ke
38222550000,:E.S. Panduranga
38225805300,Jeffrey LeBlanc
37268441700,Matthew Ward
38223933400,Norman Wittels
37314757900,Ted Mihalisin
37312472600,E. Grawlinksi
37567607700,John Timlin
37938366000,John Schwegler
37393753600,Thomas A. Foley
37356915500,David A. Lane
37382195100,Wolfgang Krueger
38223707500,Ray J. Meyers
38182442500,Michael B. Stephenson
38222534300,J.L. Pajon
38224108700,V.B. Tran
38220531600,Debra Dooley
37269827100,Michael F. Cohen
37371403900,David P. Dobkin
38226089400,M. Zhu
38225685300,Philip C. Hsu
37349154000,John Staudhammer
37355358000,Keith Voegele
37839171900,Richard L. Phillips
38169454400,D.L. Brittain
38227333000,J. Aller
38161322300,M. Wilson
38226540000,S.-L.C. Wang
37419567600,Michael J. Laszlo
37372689000,Alyn Rockwood
37618567100,Elizabeth M. Wenzel
38224462600,Philip K. Stone
38001495100,Scott S. Fisher
37612624400,Scott H. Foster
37294162600,Alfred Inselberg
37426169800,Bernard Dimsdale
38221998500,Dieter Lasser
38224911100,G.W. Edgar
38224901300,L. Herr
38222512800,Stephen L. Senft
38222513300,Vincent J. Argiro
38222511400,William L. VanZandt
38222505100,David A Prawel
38227569300,Wayne E. Fordyce
38222513900,Jeffrey J. Ventrella
37299567100,Larry L. Smarr
37387962300,B. K. Christensen
38221967100,L. M. Desjarlais
37274132700,Deborah Silver
38225199300,M. Gao
37333395400,Norman Zabusky
37428175700,Quentin E Dolecek
37326689900,K. Moorjani
37631217900,B.F. Kim
37664444100,D.G. Tilley Applied Physics Laboratory
37268582900,Thomas Denney
37388808200,Steve Bryson
37671515100,Creon Levit
38227300900,Paul Gene Swann
37938882400,Sudhanshu Kumar Semwal
37377256900,Al Globus
37671524000,Tom A Lasinski
37282570000,Peter SchrÃ¶der
38168664800,James B. Salem
38179868800,Richard S. Gallagher
38225773500,H. W. Park
38161597000,K. S. Eo
37336015300,D.L. Kim
38226162500,Bs Choi
37280925600,Y. Kim
37349272100,Trent Alexander
37418915200,Terry S. Yoo
37284618000,Ulrich Neumann
37285537200,Henry Fuchs
37284115400,Stephen Pizer
38220609700,Tim Cullip
38226866400,John Rhoades
37267322600,Ross T. Whitaker
38224624000,D. Watson
38111071800,J. Wejchert
38225762300,D. W. Williams
38099457200,B. M. Collins
37371985200,Larry Rosenblum
38275540400,Behzad Kamgar-Parsi
37298498100,Edward Belcher
37370696100,Ola Engelsen
37267387800,Nelson Max
37378427200,William E. Lorensen
37086987129,Boris Yamrom
38181564900,Robert H. Wolfe
38221911200,Mark Needels
37269957800,John D. Joannopoulos
37282730100,William J. Schroeder
37378427600,Christopher R. Volpe
38221881400,William R. Feeny
37388907800,Robert Victor Klassen
38227614600,Steven J Harrington
37591245700,Andreas Buja
37613372700,John Alan McDonald
38224573600,John Michalak
37373699500,Werner Stuetzle
38224220100,Kenneth P. Hinckley
37974090900,Nils Thune
37355728400,BjÃ¸rn Olstad
37276270800,G.Z. Yang
37618336200,Peter Burger
37372075800,P.J. Kilner
37272738600,Raad H. Mohiaddin
37386999400,S.K. Law
37301346300,P.L. Nunez
37377532500,A.F. Westdorp
37378970600,A.V. Nelson
38161624900,K.L. Pilgreen
37064514200,Renben Shu
38225641700,Alan Liu
38165288100,Stuart Smith
37360588500,Georges Grinstein
38227675400,R. Daniel Bergeron
38225529300,Qiang Zhang
37389499500,T. Todd Elvins
37374054100,David R. Nadeau
38227139100,U. Lang
38227658000,R. Lang
37086990245,R. Ruhle
37284273900,Roger Crawfis
38227501100,Michael J. Allison
37390089900,Allan Tuchman
37671093000,David Jablonowski
37078835600,George Cybenko
37280473500,Michael J. Bailey
37345924200,Eric Grosse
37381975300,Brian Johnson
37283016400,Ben Shneiderman
38226914800,William C. Hill
37282894500,James D. Hollan
37378493100,Sandeep Kochhar
37390684200,Mark Friedell
37671059300,Mark LaPolla
37271377200,Robert B Haber
37388593200,Bruce Lucas
37386981900,Nancy S Collins
37282753300,Haim Levkowitz
38224353400,Richard A. Holub
37567312900,Gary W. Meyer
38227450500,Gordon Feguson
38224713300,David Parker
38224641300,Douglas W. Stillman
38222078500,James Winget
38224561200,D. Stevenson
38221919700,Neal E. Hurlburt
38221920200,Lola W. Anacker
37321254000,Raoul Kopelman
37563084100,Steve M. Legensky
37387702200,N.C. Schaller
37282898700,Robert Haimes
38221993300,Dave Darmofal
37342242100,David W. Robertson
37340016200,Van L. Jacobson
37277350600,William E. Johnston
38270974600,Stewart C. Loken
38221931300,Edward H. Theil
37276286600,Brian L. Tierney
37384054700,C. S. Jones
37381492700,J. A. Baca
38221932000,J Burnetti
38158111400,R. Manley Energy
38221858800,W Mitchell
38221934700,D Varnadore
37378512200,Philip J. Mercurio
37376755900,Stephen J. Young
37382629000,Rajka Popovic
37323951900,Robert S. MacLeod
37276931400,Chris R. Johnson
37390451700,Mike A. Matheson
37377332600,Alan D. Kalvin
37387217000,David Dean
37378545700,Jean-Jacques Hublin
37381489300,Marc Braun
37378507800,Margaret J. Geller
37378505800,Emilio E. Falco
37378506000,Daniel G. Fabricant
37378505700,Boyd Estus
37378405100,Stuart A. Tobet
37378905800,Joan C. King
37378405400,Steven L. Wertheim
37389947500,Frank H. Duffy
37378570400,Stephen M. Kosslyn
37301963100,Justin Pearlman
37372175500,Lloyd Treinish
37385834300,David M. Butler
37376377400,Hikmet Senay
37389058300,Stephen M. Ervin
37380238200,John R. Wright
37379008700,Julia C. L. Hsieh
37378567900,Mark A. Christon
37378568500,Thomas Spelce
37378508100,Jim Kaba
37321191300,Jim Matey
37356651400,Gordon Stoll
37389384300,Herb Taylor
37349803800,Pat Hanrahan
37062829700,Thierry Delmarcelle
37378567600,Thomas J. True
38181916800,John F. Hughes
37378253300,Clifford Beshers
37266699900,Steven Feiner
37381894400,Xia Lin
37282292000,Penny Rheingans
37378418400,Lee R. Seidenberg
37378418300,Robert B. Jerard
37378555400,John Magewick
37378417700,Jeff P. Hultquist
37378640100,E. L. Raible
37378533700,Rebecca R. Springmeyer
37353304700,Meera M. Blattner
37387351200,Joseph L. Steffen
37378426900,G.D. Montanaro
37283138700,Daniel A. Keim
37370014200,Vincent Lum
37272510200,Janice E. Cuny
37377783300,Alfred A. Hough
37378562400,Joydip Kundu
37383888400,Clifton Williams
37378437300,J. Rasure
37266777200,Charles Hansen
37284304900,Koji Koyamada
37383141300,Dean Williams
37378425900,Fernando F Grinstein
37378425700,Upul R Obeysekare
37378426400,Gopal Patnaik
37383881600,Bruce F. Naylor
37281235500,Xiaolin Wu
37351642300,Yonggang Fang
37378529000,David Turo
37352189500,William Hibbard
37343183500,Charles R. Dyer
37351406900,Brian Paul
38258875500,R. Don Williams
37378369700,Fred L. Wefer
37376660700,T. E. Clifton
37378534500,Gregory D. Abram
38183190700,David A. Epstein
37378534100,Donna L. Gresh
37378530900,Kevin P. McAuliffe
37378529100,K.H. Hohne
37378525800,A. Pommert
37378525600,M. Riemer
37372275700,T. SchiemannT. Schiemann
37385792400,R. Schubert
37372275900,Ulf Tiede
37378525500,W. Lierse
37378526500,Paul Hinker
37378532500,Stefanie Hahmann
37355295400,David N. Kenwright
37353663700,Gordon D. Mallinson
37278018900,Peter L. Williams
37267249200,Jarke J. van Wijk
37275869400,Kwan-Liu Ma
37382292100,Philip J. Smith
