Author_ID,Name,ga_first_name,ga_last_name,ga_gender,ga_accuracy,ga_samples
37270681400,"Bill Hibbard",Bill,Hibbard,male,100,1354
37378731100,"David Santek",David,Santek,male,99,381770
38158227200,"James Lowell Helman","James Lowell",Helman,male,100,2
37274095200,"Lambertus Hesselink",Lambertus,Hesselink,male,100,41
37671091700,"Gordon Bancroft",Gordon,Bancroft,male,99,7416
37667865200,"Fergus Merritt",Fergus,Merritt,male,99,413
37671091300,"Todd Plessel",Todd,Plessel,male,100,11557
38222555400,"Paul Kelaita",Paul,Kelaita,male,99,140849
38223652700,"R.Kevin McCabe",R.Kevin,Mccabe,male,100,2
38220532900,"Al Globus",Al,Globus,male,91,15506
38222638800,"J.L. Montine",J.L.,Montine,male,77,135
37332039100,"Yaseen Yacoob",Yaseen,Yacoob,male,98,1167
37283754100,"Gregory M. Nielson","Gregory M.",Nielson,male,100,10
37282068700,"Bernd Hamann",Bernd,Hamann,male,99,7628
38224081700,"A.J. Maeder",A.J.,Maeder,male,89,616
38226960900,"David Lamb",David,Lamb,male,99,381770
38222557000,"Sivaji Bandyopadhyay",Sivaji,Bandyopadhyay,male,99,135
38183096100,"James V. Miller","James V.",Miller,male,100,7
37349884100,"David E. Breen","David E.",Breen,male,100,81
37349871000,"Michael J. Wozny","Michael J.",Wozny,male,99,247
38156954600,"Richard A. Becker","Richard A.",Becker,male,99,74
37282570100,"Stephen G. Eick","Stephen G.",Eick,male,100,12
38225586000,"Eileen O. Miller",Eileen,Miller,female,99,5020
38140574900,"Allan R. Wilks","Allan R.",Wilks,male,100,4
37673708000,"Ping-Kang Hsiung",Ping-Kang,Hsiung,male,76,4119
37355901300,"Robert H. Thibadeau","Robert H.",Thibadeau,male,100,25
38224229700,"Christopher B. Cox","Christopher B.",Cox,male,100,5
37684312600,"Robert H. P. Dunn",Robert,Dunn,male,99,145540
38225786100,"Michael Wu",Michael,Wu,male,99,211741
38224474700,"Paul Andrew Olbrich","Paul Andrew",Olbrich,male,100,23
37347480400,"Bowen Alpern",Bowen,Alpern,male,87,282
37281754200,"Larry Carter",Larry,Carter,male,98,17344
37424740200,"Ted Selker",Ted,Selker,male,98,8573
37333439100,"Andrew J. Hanson","Andrew J.",Hanson,male,97,37
37283077400,"P.A. Heng",P.A.,Heng,male,94,48
38226976000,"B. C. Kaplan","B. C.",Kaplan,male,100,3
37388066800,"Philip K. Robertson","Philip K.",Robertson,male,100,8
38222544200,"George David kerlick","George David",Kerlick,male,100,13
37352200300,"Nahum Gershon",Nahum,Gershon,male,99,323
38222492800,"Stephen Wehrend",Stephen,Wehrend,male,99,46085
37380191400,"Clayton Lewis",Clayton,Lewis,male,99,3985
38221269900,"Jerry Lohse",Jerry,Lohse,male,98,23367
38222535800,"Henry Rueter",Henry,Rueter,male,99,32139
37377633100,"Kevin Biolsi",Kevin,Biolsi,male,99,140160
38224131700,"Neff Walker",Neff,Walker,male,87,55
37070774300,"Kalpathi Subramanian",Subramanian,Kalpathi,male,98,674
37300594200,"Donald S. Fussell","Donald S.",Fussell,male,100,4
37378511100,"Lori Scarlatos",Lori,Scarlatos,female,96,10687
37357427000,"The Pavlidis",The,Pavlidis,male,87,10436
37268052800,"Arie E Kaufman",Arie,Kaufman,male,92,4212
37342422500,"Roni Yagel",Roni,Yagel,male,85,4208
38158765400,"Reuven Bakalash",Reuven,Bakalash,male,99,177
38222533200,"Ilan Spector",Ilan,Spector,male,97,1086
37282578800,"Hans Hagen",Hans,Hagen,male,97,28935
38181577200,"Thomas S Schreiber",Thomas,Schreiber,male,99,129177
38222534800,"Ernst Gschwind",Ernst,Gschwind,male,98,2265
37271525400,"Binh Pham",Binh,Pham,male,81,1663
38225435000,"Chieh-Cheng J. Yen",,,,,
38222589100,"Keith W. Bedford","Keith W.",Bedford,male,100,9
38223917500,"Keith W. Bedford","Keith W.",Bedford,male,100,9
38225773100,"Robert E. Marshall","Robert E.",Marshall,male,100,66
37301161800,"John C. Hart","John C.",Hart,male,100,89
37621252300,"Louis H. Kauffman",Louis,Kauffman,male,97,22473
37086974762,"Daniel J. Sandin","Daniel J.",Sandin,male,100,104
38225470800,"Yonggang Ke",Yonggang,Ke,male,100,27
38222550000,":E.S. Panduranga",Panduranga,:e.S.,male,98,45
