Author_ID,Name,GenderizeIO
37270681400,Bill Hibbard,male
37378731100,David Santek,male
38158227200,James Lowell Helman,male
37274095200,Lambertus Hesselink,male
37671091700,Gordon Bancroft,male
37667865200,Fergus Merritt,male
37671091300,Todd Plessel,male
38222555400,Paul Kelaita,male
38223652700,R.Kevin McCabe,
38220532900,Al Globus,male
38222638800,J.L. Montine,
37332039100,Yaseen Yacoob,male
37283754100,Gregory M. Nielson,male
37282068700,Bernd Hamann,male
38224081700,A.J. Maeder,
38226960900,David Lamb,male
38222557000,Sivaji Bandyopadhyay,male
38183096100,James V. Miller,male
37349884100,David E. Breen,male
37349871000,Michael J. Wozny,male
38156954600,Richard A. Becker,male
37282570100,Stephen G. Eick,male
38225586000,Eileen O. Miller,female
38140574900,Allan R. Wilks,male
37673708000,Ping-Kang Hsiung,
37355901300,Robert H. Thibadeau,male
38224229700,Christopher B. Cox,male
37684312600,Robert H. P. Dunn,male
38225786100,Michael Wu,male
38224474700,Paul Andrew Olbrich,male
37347480400,Bowen Alpern,male
37281754200,Larry Carter,male
37424740200,Ted Selker,male
37333439100,Andrew J. Hanson,male
37283077400,P.A. Heng,
38226976000,B. C. Kaplan,
37388066800,Philip K. Robertson,male
38222544200,George David kerlick,male
37352200300,Nahum Gershon,male
38222492800,Stephen Wehrend,male
37380191400,Clayton Lewis,male
38221269900,Jerry Lohse,male
38222535800,Henry Rueter,male
37377633100,Kevin Biolsi,male
38224131700,Neff Walker,male
37070774300,Kalpathi Subramanian,
37300594200,Donald S. Fussell,male
37378511100,Lori Scarlatos,female
37357427000,The Pavlidis,male
37268052800,Arie E Kaufman,male
37342422500,Roni Yagel,male
38158765400,Reuven Bakalash,male
38222533200,Ilan Spector,male
37282578800,Hans Hagen,male
38181577200,Thomas S Schreiber,male
38222534800,Ernst Gschwind,male
37271525400,Binh Pham,male
38225435000,Chieh-Cheng J. Yen,
38222589100,Keith W. Bedford,male
38223917500,Keith W. Bedford,male
38225773100,Robert E. Marshall,male
37301161800,John C. Hart,male
37621252300,Louis H. Kauffman,male
37086974762,Daniel J. Sandin,male
38225470800,Yonggang Ke,male
38222550000,:E.S. Panduranga,
38225805300,Jeffrey LeBlanc,male
37268441700,Matthew Ward,male
38223933400,Norman Wittels,male
37314757900,Ted Mihalisin,male
37312472600,E. Grawlinksi,
37567607700,John Timlin,male
37938366000,John Schwegler,male
37393753600,Thomas A. Foley,male
37356915500,David A. Lane,male
37382195100,Wolfgang Krueger,male
38223707500,Ray J. Meyers,male
38182442500,Michael B. Stephenson,male
38222534300,J.L. Pajon,
38224108700,V.B. Tran,
38220531600,Debra Dooley,female
37269827100,Michael F. Cohen,male
37371403900,David P. Dobkin,male
38226089400,M. Zhu,
38225685300,Philip C. Hsu,male
37349154000,John Staudhammer,male
37355358000,Keith Voegele,male
37839171900,Richard L. Phillips,male
38169454400,D.L. Brittain,
38227333000,J. Aller,
38161322300,M. Wilson,
38226540000,S.-L.C. Wang,
37419567600,Michael J. Laszlo,male
37372689000,Alyn Rockwood,male
37618567100,Elizabeth M. Wenzel,female
38224462600,Philip K. Stone,male
38001495100,Scott S. Fisher,male
37612624400,Scott H. Foster,male
37294162600,Alfred Inselberg,male
37426169800,Bernard Dimsdale,male
38221998500,Dieter Lasser,male
38224911100,G.W. Edgar,
38224901300,L. Herr,
38222512800,Stephen L. Senft,male
38222513300,Vincent J. Argiro,male
38222511400,William L. VanZandt,male
38222505100,David A Prawel,male
38227569300,Wayne E. Fordyce,male
38222513900,Jeffrey J. Ventrella,male
37299567100,Larry L. Smarr,male
37387962300,B. K. Christensen,
38221967100,L. M. Desjarlais,
37274132700,Deborah Silver,female
38225199300,M. Gao,
37333395400,Norman Zabusky,male
37428175700,Quentin E Dolecek,male
37326689900,K. Moorjani,
37631217900,B.F. Kim,
37664444100,D.G. Tilley Applied Physics Laboratory,
37268582900,Thomas Denney,male
37388808200,Steve Bryson,male
37671515100,Creon Levit,male
38227300900,Paul Gene Swann,male
37938882400,Sudhanshu Kumar Semwal,male
37377256900,Al Globus,male
37671524000,Tom A Lasinski,male
37282570000,Peter SchrÃ¶der,male
38168664800,James B. Salem,male
38179868800,Richard S. Gallagher,male
38225773500,H. W. Park,
38161597000,K. S. Eo,
37336015300,D.L. Kim,
38226162500,Bs Choi,male
37280925600,Y. Kim,
37349272100,Trent Alexander,male
37418915200,Terry S. Yoo,male
37284618000,Ulrich Neumann,male
37285537200,Henry Fuchs,male
37284115400,Stephen Pizer,male
38220609700,Tim Cullip,male
38226866400,John Rhoades,male
37267322600,Ross T. Whitaker,male
38224624000,D. Watson,
38111071800,J. Wejchert,
38225762300,D. W. Williams,
38099457200,B. M. Collins,
37371985200,Larry Rosenblum,male
38275540400,Behzad Kamgar-Parsi,male
37298498100,Edward Belcher,male
37370696100,Ola Engelsen,female
37267387800,Nelson Max,male
37378427200,William E. Lorensen,male
37086987129,Boris Yamrom,male
38181564900,Robert H. Wolfe,male
38221911200,Mark Needels,male
37269957800,John D. Joannopoulos,male
37282730100,William J. Schroeder,male
37378427600,Christopher R. Volpe,male
38221881400,William R. Feeny,male
37388907800,Robert Victor Klassen,male
38227614600,Steven J Harrington,male
37591245700,Andreas Buja,male
37613372700,John Alan McDonald,male
38224573600,John Michalak,male
37373699500,Werner Stuetzle,male
38224220100,Kenneth P. Hinckley,male
37974090900,Nils Thune,male
37355728400,BjÃ¸rn Olstad,
37276270800,G.Z. Yang,
37618336200,Peter Burger,male
37372075800,P.J. Kilner,
37272738600,Raad H. Mohiaddin,male
37386999400,S.K. Law,
37301346300,P.L. Nunez,
37377532500,A.F. Westdorp,
37378970600,A.V. Nelson,
38161624900,K.L. Pilgreen,
37064514200,Renben Shu,male
38225641700,Alan Liu,male
38165288100,Stuart Smith,male
37360588500,Georges Grinstein,male
38227675400,R. Daniel Bergeron,
38225529300,Qiang Zhang,male
37389499500,T. Todd Elvins,
37374054100,David R. Nadeau,male
38227139100,U. Lang,
38227658000,R. Lang,
37086990245,R. Ruhle,
37284273900,Roger Crawfis,male
38227501100,Michael J. Allison,male
37390089900,Allan Tuchman,male
37671093000,David Jablonowski,male
37078835600,George Cybenko,male
37280473500,Michael J. Bailey,male
37345924200,Eric Grosse,male
37381975300,Brian Johnson,male
37283016400,Ben Shneiderman,male
38226914800,William C. Hill,male
37282894500,James D. Hollan,male
37378493100,Sandeep Kochhar,male
37390684200,Mark Friedell,male
37671059300,Mark LaPolla,male
37271377200,Robert B Haber,male
37388593200,Bruce Lucas,male
37386981900,Nancy S Collins,female
37282753300,Haim Levkowitz,male
38224353400,Richard A. Holub,male
37567312900,Gary W. Meyer,male
38227450500,Gordon Feguson,male
38224713300,David Parker,male
38224641300,Douglas W. Stillman,male
38222078500,James Winget,male
38224561200,D. Stevenson,
38221919700,Neal E. Hurlburt,male
38221920200,Lola W. Anacker,female
37321254000,Raoul Kopelman,male
37563084100,Steve M. Legensky,male
37387702200,N.C. Schaller,
37282898700,Robert Haimes,male
38221993300,Dave Darmofal,male
37342242100,David W. Robertson,male
37340016200,Van L. Jacobson,male
37277350600,William E. Johnston,male
38270974600,Stewart C. Loken,male
38221931300,Edward H. Theil,male
37276286600,Brian L. Tierney,male
37384054700,C. S. Jones,
37381492700,J. A. Baca,
38221932000,J Burnetti,
38158111400,R. Manley Energy,
38221858800,W Mitchell,
38221934700,D Varnadore,
37378512200,Philip J. Mercurio,male
37376755900,Stephen J. Young,male
37382629000,Rajka Popovic,female
37323951900,Robert S. MacLeod,male
37276931400,Chris R. Johnson,male
37390451700,Mike A. Matheson,male
37377332600,Alan D. Kalvin,male
37387217000,David Dean,male
37378545700,Jean-Jacques Hublin,male
37381489300,Marc Braun,male
37378507800,Margaret J. Geller,female
37378505800,Emilio E. Falco,male
37378506000,Daniel G. Fabricant,male
37378505700,Boyd Estus,male
37378405100,Stuart A. Tobet,male
37378905800,Joan C. King,male
37378405400,Steven L. Wertheim,male
37389947500,Frank H. Duffy,male
37378570400,Stephen M. Kosslyn,male
